term,Chisq,Df,Pr(>Chisq)
type,37.63969195551905,1,8.509517467403179e-10
fgroup,3523.0676271346115,3,0
date_s,8.779049024487708,1,0.0030471001543880293
period,30.49448918338078,1,3.348162442334279e-8
pair,445.8856203000507,2,1.50372275544016e-97
type:fgroup,125.0181744118062,3,6.404837210387086e-27
type:date_s,3.5645773547000648,1,0.05902476459805834
type:period,28.972019579565146,1,7.343133135341837e-8
type:pair,5.909780030127017,2,0.05208438875914287
date_s:pair,24.26452313598123,2,5.383016958602134e-6
type:date_s:pair,70.96655620374378,2,3.8887329548805364e-16
