effect,component,term,estimate,std.error,statistic,p.value
fixed,cond,(Intercept),2.5453466684814554,0.15056280769292613,16.90554730935084,4.0950502344315836e-64
fixed,cond,typeArtificial,-1.42327029558743,0.23313678194972717,-6.104872357268529,1.0288286912899303e-9
fixed,cond,fgroupInvertivore,-2.478800542273071,0.06934494681883557,-35.74594337420093,7.649061439189195e-280
fixed,cond,fgroupMesopredator,-0.5499635794227888,0.077368042118989,-7.10840761068978,1.1738943781297686e-12
fixed,cond,fgroupHTLP,-1.0695522671005575,0.0835400787625931,-12.80286400184091,1.5801415731612441e-37
fixed,cond,date_s,-0.2524840082266697,0.050312516642339856,-5.018314031506725,5.212691946862064e-7
fixed,cond,periodPost,0.08290621507861132,0.1498104641732774,0.5534073706808513,0.5799844929527262
fixed,cond,pairNo Name,-0.2248020462177197,0.06084536078230948,-3.6946456283168247,2.201936659962639e-4
fixed,cond,pairSattakut,0.8995365684377967,0.06656530723018941,13.513594481388186,1.300151062592852e-41
fixed,cond,typeArtificial:fgroupInvertivore,-0.7573550764853395,0.11239729272077784,-6.73819678528017,1.6036428889708885e-11
fixed,cond,typeArtificial:fgroupMesopredator,0.14730094689171713,0.12512093487268883,1.1772685925148862,0.23908831855429707
fixed,cond,typeArtificial:fgroupHTLP,0.27056471503479557,0.1243985531305839,2.174982813110196,0.029631404347975163
fixed,cond,typeArtificial:date_s,0.5574966856818475,0.07493006910851632,7.440226498049288,1.0051281291642647e-13
fixed,cond,typeArtificial:periodPost,1.2140846193906663,0.2255586944935466,5.382566263369653,7.343133135341828e-8
fixed,cond,typeArtificial:pairNo Name,0.34078993932358664,0.09744757492867605,3.4971618285320907,4.7023648306336645e-4
fixed,cond,typeArtificial:pairSattakut,0.056927775607101126,0.10476252757680983,0.5433982639008285,0.5868556207820983
fixed,cond,date_s:pairNo Name,0.08182609823007071,0.0672396238972649,1.2169327174567843,0.22362981620582822
fixed,cond,date_s:pairSattakut,0.2634999323643323,0.06583348358133355,4.00252148344532,6.267097507019483e-5
fixed,cond,typeArtificial:date_s:pairNo Name,-0.8124479525878895,0.106946919251308,-7.59674012375025,3.0368352758033724e-14
fixed,cond,typeArtificial:date_s:pairSattakut,-0.6338318353705198,0.09773700109635575,-6.4850755421239645,8.868733773044714e-11
