Species,n,detections,zero_rate,mean_count_pos
Batfish,486,77,0.8415637860082305,1.8441558441558445
Barracuda,486,103,0.7880658436213992,113.06796116504854
Slingjaw,486,121,0.7510288065843621,1.6611570247933887
Brown_Stripe_Snapper,486,158,0.6748971193415638,34.76582278481014
Sweetlips,486,170,0.6502057613168725,2.9529411764705884
Thicklip,486,177,0.6358024691358025,1.8587570621468927
Russels_Snapper,486,216,0.5555555555555556,55.14351851851853
Triggerfish,486,216,0.5555555555555556,1.212962962962963
lrg_Snapper,486,246,0.49382716049382713,7.58536585365854
Angelfish,486,284,0.4156378600823045,1.813380281690141
Cleaner_Wrasse,486,297,0.3888888888888889,3.430976430976432
Emperorfish,486,342,0.2962962962962963,9.102339181286556
Trevally,486,346,0.2880658436213992,4.372832369942197
Red_Breast,486,352,0.2757201646090535,2.7840909090909087
lrg_Grouper,486,382,0.2139917695473251,4.026178010471203
sml_Grouper,486,424,0.12757201646090535,12.469339622641515
Parrotfish,486,465,0.043209876543209874,8.30322580645161
Rabbitfish,486,467,0.03909465020576132,22.39186295503211
Butterflyfish,486,478,0.01646090534979424,10.887029288702925
