Species,average,sd,ratio,ava,avb,cumsum,p,Direction,cum_percent,Significant,sci_name,Species_label,Species_label_ital
Russels_Snapper,0.12528290312955337,0.14571732908467672,0.8597666723410168,58.29078014184392,23.66666666666666,0.1737232691599587,0.001,Artificial,19.3,p ≤ 0.05,Lutjanus russellii,Lutjanus russellii,italic('Lutjanus russellii')
Barracuda,0.10351835025019848,0.16928402004048668,0.6115069232491088,16.68794326241135,59.57051282051289,0.31726676770830864,0.073,Natural,35.2,n.s.,Sphyraena spp.,Sphyraena spp.,italic('Sphyraena spp.')
Rabbitfish,0.09876407937369586,0.10388863379104561,0.9506726171059586,38.11347517730496,32.583333333333336,0.45421776673352776,0.758,Artificial,50.3,n.s.,Siganus spp.,Siganus spp.,italic('Siganus spp.')
sml_Grouper,0.07313064757015181,0.05608444063513185,1.303938253497389,3.900709219858155,30.365384615384617,0.5556242224774054,0.001,Natural,61.6,p ≤ 0.05,Cephalopholis/ Epinephelus spp.,Cephalopholis/ Epinephelus spp.,italic('Cephalopholis/ Epinephelus spp.')
Brown_Stripe_Snapper,0.06734139208428386,0.10357317168334847,0.6501818085687762,23.120567375886512,14.314102564102583,0.6490030195074106,0.069,Artificial,71.9,n.s.,Lutjanus vitti,Lutjanus vitti,italic('Lutjanus vitti')
Butterflyfish,0.050604123354029314,0.0500114538025504,1.0118506763234443,9.907801418439716,24.403846153846157,0.719173118718354,0.001,Natural,79.7,p ≤ 0.05,Chaetodon spp.,Chaetodon spp.,italic('Chaetodon spp.')
Parrotfish,0.04286380259334555,0.047104962700607454,0.9099636245501749,6.553191489361703,18.82692307692307,0.7786101187329757,0.001,Natural,86.3,p ≤ 0.05,Scarus spp.,Scarus spp.,italic('Scarus spp.')
Emperorfish,0.03580826677045369,0.05119210370478233,0.6994880885723106,5.375886524822694,15.096153846153847,0.8282635751178613,0.001,Natural,91.8,p ≤ 0.05,Lethrinus spp.,Lethrinus spp.,italic('Lethrinus spp.')
lrg_Snapper,0.03348757398129608,0.049931773237245146,0.6706666278840865,12.248226950354612,0.8910256410256406,0.8746990478195983,0.001,Artificial,96.9,p ≤ 0.05,Lutjanus (>30cm) spp.,Lutjanus (>30cm) spp.,italic('Lutjanus (>30cm) spp.')
Trevally,0.019845883269856167,0.0274095003114381,0.7240512612181549,6.758865248226948,3.5897435897435885,0.9022182993286499,0.012,Artificial,100,p ≤ 0.05,Caranx spp.,Caranx spp.,italic('Caranx spp.')
